prompt,prompt_idx,forward_step,phase,device,requests,vram_hits,vram_cold,vram_evictions,host_hits,host_misses,host_evictions,vram_policy,vram_dtype,persist
q0,0,1,decode,cuda:0,132,2,130,130,83,49,49,static_hotset+dyn,fp16,1
q0,0,1,decode,cuda:1,126,18,108,108,79,47,47,static_hotset+dyn,fp16,1
q0,0,2,decode,cuda:0,132,16,116,116,69,63,63,static_hotset+dyn,fp16,1
q0,0,2,decode,cuda:1,126,18,108,108,83,43,43,static_hotset+dyn,fp16,1
q0,0,3,decode,cuda:0,132,13,119,119,79,53,53,static_hotset+dyn,fp16,1
q0,0,3,decode,cuda:1,126,18,108,108,84,42,42,static_hotset+dyn,fp16,1
q0,0,4,decode,cuda:0,132,17,115,115,77,55,55,static_hotset+dyn,fp16,1
q0,0,4,decode,cuda:1,126,18,108,108,93,33,33,static_hotset+dyn,fp16,1
q0,0,5,decode,cuda:0,132,10,122,122,74,58,58,static_hotset+dyn,fp16,1
q0,0,5,decode,cuda:1,126,18,108,108,100,26,26,static_hotset+dyn,fp16,1
q0,0,6,decode,cuda:0,132,18,114,114,71,61,61,static_hotset+dyn,fp16,1
q0,0,6,decode,cuda:1,126,18,108,108,92,34,34,static_hotset+dyn,fp16,1
q0,0,7,decode,cuda:0,132,18,114,114,76,56,56,static_hotset+dyn,fp16,1
q0,0,7,decode,cuda:1,126,18,108,108,98,28,28,static_hotset+dyn,fp16,1
q0,0,8,decode,cuda:0,132,18,114,114,81,51,51,static_hotset+dyn,fp16,1
q0,0,8,decode,cuda:1,126,18,108,108,87,39,39,static_hotset+dyn,fp16,1
q0,0,9,decode,cuda:0,132,16,116,116,64,68,68,static_hotset+dyn,fp16,1
q0,0,9,decode,cuda:1,126,18,108,108,86,40,40,static_hotset+dyn,fp16,1
q0,0,10,decode,cuda:0,132,9,123,123,73,59,59,static_hotset+dyn,fp16,1
q0,0,10,decode,cuda:1,126,18,108,108,76,50,50,static_hotset+dyn,fp16,1
q0,0,11,decode,cuda:0,132,16,116,116,89,43,43,static_hotset+dyn,fp16,1
q0,0,11,decode,cuda:1,126,18,108,108,93,33,33,static_hotset+dyn,fp16,1
q0,0,12,decode,cuda:0,132,1,131,131,62,70,70,static_hotset+dyn,fp16,1
q0,0,12,decode,cuda:1,126,17,109,109,98,28,28,static_hotset+dyn,fp16,1
q0,0,13,decode,cuda:0,132,17,115,115,87,45,45,static_hotset+dyn,fp16,1
q0,0,13,decode,cuda:1,126,18,108,108,104,22,22,static_hotset+dyn,fp16,1
q0,0,14,decode,cuda:0,132,15,117,117,76,56,56,static_hotset+dyn,fp16,1
q0,0,14,decode,cuda:1,126,18,108,108,107,19,19,static_hotset+dyn,fp16,1
q0,0,15,decode,cuda:0,132,18,114,114,86,46,46,static_hotset+dyn,fp16,1
q0,0,15,decode,cuda:1,126,18,108,108,105,21,21,static_hotset+dyn,fp16,1
q0,0,0,prefill,pooled,1642,0,1642,1494,0,1642,278,static_hotset+dyn,fp16,1
