layer,expert,region,codec,orig,cbytes,est_bytes,c_ms,d_ms,verified,error,region_sha256,note
0,4,w3w,zeros,4194304,,,,,,,e57d2d3f7ae1c8bf8deef10d3d145625ba68839ecfd2408d8739c6d42551ced3,"{""zero_frac"": 0.004305124282836914, ""longest_zero_run"": 2, ""distinct_bytes"": 256}"
0,4,w2w,lz4_fast,4194304,4194339,,5.728286000021399,5.033489000027203,True,,68f0c38880e07bf9b778c455fb3f485e744f055e3f2ac284e9a971474b398ce2,
0,4,w2w,zstd_1,4194304,4047087,,12.808567999968545,7.67285200004153,True,,68f0c38880e07bf9b778c455fb3f485e744f055e3f2ac284e9a971474b398ce2,
0,4,w2w,zstd_3,4194304,4056075,,25.957460999961768,8.427176999987296,True,,68f0c38880e07bf9b778c455fb3f485e744f055e3f2ac284e9a971474b398ce2,
0,4,w2w,nib_split_zstd3,4194304,4364845,,172.60186900000463,37.42806700000756,True,,68f0c38880e07bf9b778c455fb3f485e744f055e3f2ac284e9a971474b398ce2,
0,4,w2w,order0,4194304,,4025133.2299884437,,,,,68f0c38880e07bf9b778c455fb3f485e744f055e3f2ac284e9a971474b398ce2,
0,4,w2w,order1,4194304,,3938356.7125677494,,,,,68f0c38880e07bf9b778c455fb3f485e744f055e3f2ac284e9a971474b398ce2,
0,4,w2w,zeros,4194304,,,,,,,68f0c38880e07bf9b778c455fb3f485e744f055e3f2ac284e9a971474b398ce2,"{""zero_frac"": 0.004245281219482422, ""longest_zero_run"": 2, ""distinct_bytes"": 256}"
0,4,w1s,lz4_fast,262144,128993,,0.5775430000198867,0.592704999974103,True,,d47e62cb1112530f99a2c324dde1c947396a560031e5396d3d79cb716fbd901f,
0,4,w1s,zstd_1,262144,51746,,2.244622999967305,1.2312709999946492,True,,d47e62cb1112530f99a2c324dde1c947396a560031e5396d3d79cb716fbd901f,
0,4,w1s,zstd_3,262144,49677,,1.9986650000305417,1.0587559999635232,True,,d47e62cb1112530f99a2c324dde1c947396a560031e5396d3d79cb716fbd901f,
0,4,w1s,nib_split_zstd3,262144,49707,,2.1173310000222045,1.084934999937559,True,,d47e62cb1112530f99a2c324dde1c947396a560031e5396d3d79cb716fbd901f,
0,4,w1s,order0,262144,,32077.437554804983,,,,,d47e62cb1112530f99a2c324dde1c947396a560031e5396d3d79cb716fbd901f,
0,4,w1s,order1,262144,,32072.10619972636,,,,,d47e62cb1112530f99a2c324dde1c947396a560031e5396d3d79cb716fbd901f,
0,4,w1s,zeros,262144,,,,,,,d47e62cb1112530f99a2c324dde1c947396a560031e5396d3d79cb716fbd901f,"{""zero_frac"": 0.0, ""longest_zero_run"": 0, ""distinct_bytes"": 4}"
0,4,w3s,lz4_fast,262144,127633,,0.5655610000303568,0.5121619999499671,True,,7115afb35cf8510f3752f1d5715e583f6fdb87d09d8eae62d6399ab570c5f077,
0,4,w3s,zstd_1,262144,51515,,2.1506300000169176,1.232668999989528,True,,7115afb35cf8510f3752f1d5715e583f6fdb87d09d8eae62d6399ab570c5f077,
0,4,w3s,zstd_3,262144,49514,,1.980325999966226,1.001802999951451,True,,7115afb35cf8510f3752f1d5715e583f6fdb87d09d8eae62d6399ab570c5f077,
0,4,w3s,nib_split_zstd3,262144,49503,,2.09795299997495,1.1480160000019168,True,,7115afb35cf8510f3752f1d5715e583f6fdb87d09d8eae62d6399ab570c5f077,
0,4,w3s,order0,262144,,31418.983205311833,,,,,7115afb35cf8510f3752f1d5715e583f6fdb87d09d8eae62d6399ab570c5f077,
0,4,w3s,order1,262144,,31415.524310836758,,,,,7115afb35cf8510f3752f1d5715e583f6fdb87d09d8eae62d6399ab570c5f077,
0,4,w3s,zeros,262144,,,,,,,7115afb35cf8510f3752f1d5715e583f6fdb87d09d8eae62d6399ab570c5f077,"{""zero_frac"": 0.0, ""longest_zero_run"": 0, ""distinct_bytes"": 4}"
0,4,w2s,lz4_fast,262144,128365,,0.5820860000085304,0.49416100000598817,True,,16b4d6a0418c263db24cc2ed0e56bcd3e2bc0b0b26f3b38b04b004b139974674,
0,4,w2s,zstd_1,262144,51629,,2.1151359999862507,1.3063569999758329,True,,16b4d6a0418c263db24cc2ed0e56bcd3e2bc0b0b26f3b38b04b004b139974674,
0,4,w2s,zstd_3,262144,49427,,2.026806999992914,0.913157000013598,True,,16b4d6a0418c263db24cc2ed0e56bcd3e2bc0b0b26f3b38b04b004b139974674,
0,4,w2s,nib_split_zstd3,262144,49479,,2.0169370000076015,0.9294950000366953,True,,16b4d6a0418c263db24cc2ed0e56bcd3e2bc0b0b26f3b38b04b004b139974674,
0,4,w2s,order0,262144,,31656.831170174995,,,,,16b4d6a0418c263db24cc2ed0e56bcd3e2bc0b0b26f3b38b04b004b139974674,
0,4,w2s,order1,262144,,31656.2145650454,,,,,16b4d6a0418c263db24cc2ed0e56bcd3e2bc0b0b26f3b38b04b004b139974674,
0,4,w2s,zeros,262144,,,,,,,16b4d6a0418c263db24cc2ed0e56bcd3e2bc0b0b26f3b38b04b004b139974674,"{""zero_frac"": 0.0, ""longest_zero_run"": 0, ""distinct_bytes"": 4}"
