scope,policy,pin_frac,budget_gib,slots,requests,hits,misses,hit_rate,evictions,miss_frac,ssd_GiB_total,ssd_MiB_per_token,wall_prod_0.29,wall_lanes1_0.35,wall_qd1_0.37,wall_3gibs,wall_5gibs,wall_7gibs,wall_12gibs,ram_cost_GiB
full,lfu,0.5,12,963,5099,2374,2725,0.465581,1762,0.534419,33.93,2171.5,7.31,6.06,5.73,0.71,0.42,0.3,0.18,12.0
full,static_freq,0.5,12,963,5099,3698,1401,0.72524,0,0.27476,17.44,1116.4,3.76,3.12,2.95,0.36,0.22,0.16,0.09,12.0
full,static_layer_freq,0.5,12,963,5099,3615,1484,0.708963,0,0.291037,18.48,1182.6,3.98,3.3,3.12,0.38,0.23,0.16,0.1,12.0
full,freq_lru,0.25,12,963,5099,2675,2424,0.524613,1701,0.475387,30.18,1931.6,6.5,5.39,5.1,0.63,0.38,0.27,0.16,12.0
full,freq_lru,0.5,12,963,5099,3016,2083,0.591489,1601,0.408511,25.94,1659.9,5.59,4.63,4.38,0.54,0.32,0.23,0.14,12.0
full,freq_lru,0.75,12,963,5099,3372,1727,0.661306,1486,0.338694,21.5,1376.2,4.63,3.84,3.63,0.45,0.27,0.19,0.11,12.0
full,freq_lru_warmup,0.5,12,963,5099,2567,2532,0.503432,2050,0.496568,31.53,2017.7,6.79,5.63,5.33,0.66,0.39,0.28,0.16,12.0
full,freq_x_recency,0.5,12,963,5099,2381,2718,0.466954,1755,0.533046,33.84,2165.9,7.29,6.04,5.72,0.71,0.42,0.3,0.18,12.0
full,layer_lru,0.5,12,963,5099,2352,2747,0.461267,1801,0.538733,34.2,2189.0,7.37,6.11,5.78,0.71,0.43,0.31,0.18,12.0
full,cost_aware,0.5,12,963,5099,2376,2723,0.465974,1760,0.534026,33.9,2169.9,7.31,6.05,5.73,0.71,0.42,0.3,0.18,12.0
full,belady,0.5,12,963,5099,2735,2364,0.53638,1401,0.46362,29.43,1883.8,6.34,5.26,4.97,0.61,0.37,0.26,0.15,12.0
full,lru,0.5,16,1285,5099,2592,2507,0.508335,1222,0.491665,31.22,1997.8,6.73,5.57,5.27,0.65,0.39,0.28,0.16,16.0
full,engine_priority_lru,0.5,16,1285,5099,1738,3361,0.340851,2076,0.659149,41.85,2678.3,9.02,7.47,7.07,0.87,0.52,0.37,0.22,16.0
full,arc,0.5,16,1285,5099,2572,2527,0.504413,1242,0.495587,31.46,2013.7,6.78,5.62,5.31,0.66,0.39,0.28,0.16,16.0
full,lfu,0.5,16,1285,5099,2592,2507,0.508335,1222,0.491665,31.22,1997.8,6.73,5.57,5.27,0.65,0.39,0.28,0.16,16.0
full,static_freq,0.5,16,1285,5099,4020,1079,0.78839,0,0.21161,13.43,859.8,2.9,2.4,2.27,0.28,0.17,0.12,0.07,16.0
full,static_layer_freq,0.5,16,1285,5099,3979,1120,0.780349,0,0.219651,13.95,892.5,3.01,2.49,2.36,0.29,0.17,0.12,0.07,16.0
full,freq_lru,0.25,16,1285,5099,2923,2176,0.57325,1212,0.42675,27.09,1734.0,5.84,4.84,4.58,0.56,0.34,0.24,0.14,16.0
full,freq_lru,0.5,16,1285,5099,3346,1753,0.656207,1110,0.343793,21.83,1396.9,4.7,3.9,3.69,0.45,0.27,0.19,0.11,16.0
full,freq_lru,0.75,16,1285,5099,3698,1401,0.72524,1079,0.27476,17.44,1116.4,3.76,3.12,2.95,0.36,0.22,0.16,0.09,16.0
full,freq_lru_warmup,0.5,16,1285,5099,3159,1940,0.619533,1297,0.380467,24.16,1545.9,5.21,4.31,4.08,0.5,0.3,0.22,0.13,16.0
full,freq_x_recency,0.5,16,1285,5099,2593,2506,0.508531,1221,0.491469,31.2,1997.0,6.72,5.57,5.27,0.65,0.39,0.28,0.16,16.0
full,layer_lru,0.5,16,1285,5099,2561,2538,0.502255,1291,0.497745,31.6,2022.5,6.81,5.64,5.34,0.66,0.4,0.28,0.16,16.0
full,cost_aware,0.5,16,1285,5099,2592,2507,0.508335,1222,0.491665,31.22,1997.8,6.73,5.57,5.27,0.65,0.39,0.28,0.16,16.0
full,belady,0.5,16,1285,5099,2735,2364,0.53638,1079,0.46362,29.43,1883.8,6.34,5.26,4.97,0.61,0.37,0.26,0.15,16.0
