scope,regime,policy,pin_frac,budget_gib,slots,initial_records,initial_state_gib,repopulation_charged,requests,hits,misses,evictions,hit_rate,prefill_misses,decode_misses,prefill_hits,decode_hits,miss_frac,ssd_MiB_per_token,wall_s_at_0.29GiBps,wall_s_at_0.33GiBps,wall_s_at_0.37GiBps,wall_s_at_3.0GiBps,wall_s_at_5.0GiBps,wall_s_at_7.0GiBps,wall_s_at_12.0GiBps
full,C,belady_pin_same_state,0.9,24,1927,1734,21.59,0,5099,4469,630,437,0.876446,0,630,1229,3240,0.123554,502.0,27.049,23.77,21.201,2.615,1.569,1.121,0.654
full,C,belady_pin_same_state,0.99,24,1927,1907,23.744,0,5099,4642,457,437,0.910375,0,457,1229,3413,0.089625,364.2,19.621,17.243,15.379,1.897,1.138,0.813,0.474
full,A,lru,,32,2570,0,0.0,0,5099,2735,2364,0,0.53638,1229,1135,0,2735,0.46362,1883.8,101.499,89.196,79.553,9.812,5.887,4.205,2.453
full,A,engine_priority_lru,,32,2570,0,0.0,0,5099,2735,2364,0,0.53638,1229,1135,0,2735,0.46362,1883.8,101.499,89.196,79.553,9.812,5.887,4.205,2.453
full,A,arc,,32,2570,0,0.0,0,5099,2735,2364,0,0.53638,1229,1135,0,2735,0.46362,1883.8,101.499,89.196,79.553,9.812,5.887,4.205,2.453
full,A,lfu,,32,2570,0,0.0,0,5099,2735,2364,0,0.53638,1229,1135,0,2735,0.46362,1883.8,101.499,89.196,79.553,9.812,5.887,4.205,2.453
full,A,freq_x_recency,,32,2570,0,0.0,0,5099,2735,2364,0,0.53638,1229,1135,0,2735,0.46362,1883.8,101.499,89.196,79.553,9.812,5.887,4.205,2.453
full,A,layer_lru,,32,2570,0,0.0,0,5099,2723,2376,151,0.534026,1229,1147,0,2723,0.465974,1893.4,102.014,89.648,79.957,9.861,5.917,4.226,2.465
full,A,cost_aware,,32,2570,0,0.0,0,5099,2735,2364,0,0.53638,1229,1135,0,2735,0.46362,1883.8,101.499,89.196,79.553,9.812,5.887,4.205,2.453
full,A,belady_cold,,32,2570,0,0.0,0,5099,2735,2364,0,0.53638,1229,1135,0,2735,0.46362,1883.8,101.499,89.196,79.553,9.812,5.887,4.205,2.453
full,B,freq_lru_warmup,0.5,32,2570,0,0.0,0,5099,2735,2364,0,0.53638,1229,1135,0,2735,0.46362,1883.8,101.499,89.196,79.553,9.812,5.887,4.205,2.453
full,B,freq_lru_warmup_s4,0.5,32,2570,0,0.0,0,5099,2735,2364,0,0.53638,1229,1135,0,2735,0.46362,1883.8,101.499,89.196,79.553,9.812,5.887,4.205,2.453
full,C,static_freq_prewarm,,32,2570,2364,29.435,0,5099,5099,0,0,1.0,0,0,1229,3870,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
full,C,static_layer_freq_prewarm,,32,2570,2225,27.704,0,5099,4960,139,0,0.97274,0,139,1229,3731,0.02726,110.8,5.968,5.245,4.678,0.577,0.346,0.247,0.144
full,C,freq_lru_prewarm,0.25,32,2570,642,7.994,0,5099,3377,1722,0,0.662287,821,901,408,2969,0.337713,1372.2,73.934,64.972,57.948,7.147,4.288,3.063,1.787
full,C,freq_lru_prewarm,0.5,32,2570,1285,16.0,0,5099,4020,1079,0,0.78839,394,685,835,3185,0.21161,859.8,46.327,40.712,36.31,4.478,2.687,1.919,1.12
full,C,freq_lru_prewarm,0.75,32,2570,1927,23.993,0,5099,4662,437,0,0.914297,0,437,1229,3433,0.085703,348.2,18.763,16.488,14.706,1.814,1.088,0.777,0.453
full,C,freq_lru_prewarm,0.9,32,2570,2313,28.8,0,5099,5048,51,0,0.989998,0,51,1229,3819,0.010002,40.6,2.19,1.924,1.716,0.212,0.127,0.091,0.053
full,C,freq_lru_prewarm,0.99,32,2570,2364,29.435,0,5099,5099,0,0,1.0,0,0,1229,3870,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
full,C,lru_prewarm_topN,,32,2570,2364,29.435,0,5099,5099,0,0,1.0,0,0,1229,3870,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
full,C,belady_same_state_prewarm,,32,2570,2364,29.435,0,5099,5099,0,0,1.0,0,0,1229,3870,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
